"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","cluster"
60,"blue-collar","married","unknown","no",104,"yes","no","unknown",5,"may",22,1,-1,0,"unknown","no","1"
48,"housemaid","married","secondary","no",1397,"no","no","cellular",31,"jul",66,2,-1,0,"unknown","no","2"
60,"blue-collar","married","secondary","no",0,"no","yes","unknown",5,"jun",124,1,-1,0,"unknown","no","1"
46,"entrepreneur","single","tertiary","no",1410,"yes","no","telephone",13,"may",91,5,175,9,"failure","no","1"
45,"technician","single","secondary","no",1196,"yes","no","cellular",14,"jul",108,6,-1,0,"unknown","no","1"
27,"blue-collar","single","secondary","no",1,"yes","no","cellular",18,"jul",320,2,-1,0,"unknown","no","1"
45,"housemaid","married","secondary","no",1041,"yes","no","unknown",29,"may",238,3,-1,0,"unknown","no","1"
47,"admin.","married","tertiary","no",97,"yes","no","cellular",6,"may",220,1,87,3,"failure","no","1"
54,"blue-collar","single","unknown","no",1555,"yes","no","telephone",30,"jan",258,5,248,2,"failure","no","2"
57,"retired","married","primary","no",37,"no","no","unknown",25,"jun",259,2,-1,0,"unknown","no","1"
38,"technician","single","secondary","no",884,"yes","yes","cellular",19,"nov",295,1,111,2,"failure","no","1"
57,"technician","married","secondary","no",0,"no","no","unknown",20,"jun",45,4,-1,0,"unknown","no","1"
55,"services","married","secondary","no",-626,"yes","yes","cellular",5,"may",369,2,278,5,"failure","no","1"
46,"technician","married","unknown","no",557,"yes","no","cellular",28,"jan",148,1,197,4,"failure","no","1"
57,"admin.","married","secondary","no",340,"no","yes","cellular",31,"jul",167,2,-1,0,"unknown","no","1"
40,"admin.","married","secondary","no",0,"yes","yes","unknown",29,"may",49,3,-1,0,"unknown","no","1"
33,"blue-collar","single","primary","no",863,"yes","no","telephone",13,"may",622,3,-1,0,"unknown","yes","1"
35,"management","single","tertiary","no",2576,"yes","yes","cellular",6,"may",136,3,273,4,"failure","no","2"
57,"management","married","primary","no",2538,"no","yes","telephone",17,"jul",485,2,-1,0,"unknown","no","2"
48,"technician","married","secondary","no",566,"no","no","cellular",7,"aug",51,3,-1,0,"unknown","no","1"
36,"management","married","tertiary","no",293,"yes","no","unknown",27,"may",287,4,-1,0,"unknown","no","1"
52,"management","married","tertiary","no",583,"no","no","cellular",17,"nov",209,1,91,2,"failure","yes","1"
49,"blue-collar","married","primary","no",737,"no","no","cellular",13,"aug",100,2,-1,0,"unknown","no","1"
30,"blue-collar","married","primary","no",262,"yes","no","cellular",20,"apr",15,4,343,3,"other","no","1"
42,"blue-collar","married","secondary","no",2374,"no","no","cellular",30,"jul",143,2,-1,0,"unknown","no","1"
25,"blue-collar","married","secondary","no",-288,"no","yes","cellular",30,"jul",311,4,-1,0,"unknown","no","1"
35,"management","single","unknown","no",186,"yes","no","cellular",5,"feb",196,2,-1,0,"unknown","no","1"
67,"retired","married","primary","no",2301,"no","no","cellular",16,"apr",124,1,-1,0,"unknown","no","2"
35,"blue-collar","married","primary","no",0,"no","no","cellular",31,"jul",57,4,-1,0,"unknown","no","1"
46,"entrepreneur","married","tertiary","no",1920,"no","no","cellular",22,"aug",604,6,-1,0,"unknown","yes","3"
34,"admin.","married","tertiary","no",1,"yes","no","cellular",17,"jul",54,3,-1,0,"unknown","no","1"
30,"blue-collar","single","primary","no",395,"no","no","cellular",21,"nov",429,1,-1,0,"unknown","no","1"
36,"management","single","tertiary","no",1520,"no","no","cellular",22,"aug",101,2,-1,0,"unknown","no","1"
20,"student","single","secondary","no",53,"no","no","cellular",11,"aug",203,1,-1,0,"unknown","no","1"
59,"retired","married","primary","no",13,"no","no","cellular",28,"jan",384,2,-1,0,"unknown","no","1"
29,"unknown","single","secondary","no",923,"no","no","cellular",26,"may",333,1,-1,0,"unknown","no","1"
49,"technician","married","tertiary","no",1071,"no","no","cellular",17,"jun",169,1,-1,0,"unknown","yes","1"
46,"blue-collar","married","tertiary","yes",-388,"no","no","cellular",18,"nov",295,2,-1,0,"unknown","no","1"
32,"services","married","unknown","no",23,"no","no","cellular",11,"jul",425,2,-1,0,"unknown","no","1"
46,"services","married","secondary","no",250,"no","no","cellular",18,"aug",166,6,-1,0,"unknown","no","1"
26,"blue-collar","single","secondary","no",191,"yes","no","cellular",6,"may",550,1,-1,0,"unknown","yes","1"
52,"unemployed","married","secondary","no",94,"no","no","cellular",30,"apr",244,1,-1,0,"unknown","yes","1"
33,"blue-collar","married","secondary","no",-253,"yes","no","cellular",12,"may",89,3,-1,0,"unknown","no","1"
53,"housemaid","married","secondary","no",736,"yes","no","unknown",20,"may",535,1,-1,0,"unknown","no","1"
25,"admin.","single","secondary","no",483,"no","yes","cellular",30,"apr",68,1,86,1,"success","no","1"
44,"admin.","married","secondary","no",0,"no","no","cellular",31,"jul",209,1,-1,0,"unknown","no","1"
34,"management","single","tertiary","no",0,"no","no","cellular",22,"aug",174,1,-1,0,"unknown","no","1"
43,"services","married","secondary","no",122,"yes","no","cellular",5,"may",355,2,-1,0,"unknown","no","1"
30,"technician","single","tertiary","no",405,"yes","no","cellular",4,"feb",128,1,274,1,"failure","no","1"
65,"retired","married","tertiary","no",1973,"no","no","telephone",2,"feb",121,1,287,3,"success","no","2"
37,"technician","married","secondary","no",1,"yes","no","unknown",6,"may",608,1,-1,0,"unknown","yes","1"
48,"services","married","secondary","no",124,"no","yes","cellular",9,"jul",294,1,-1,0,"unknown","no","1"
26,"management","married","tertiary","no",243,"no","no","cellular",26,"may",482,1,-1,0,"unknown","yes","1"
44,"entrepreneur","married","secondary","no",692,"no","no","unknown",18,"jun",73,4,-1,0,"unknown","no","1"
46,"blue-collar","married","primary","no",2473,"no","no","cellular",4,"aug",136,3,-1,0,"unknown","no","2"
27,"admin.","single","tertiary","no",662,"no","no","cellular",30,"apr",47,1,-1,0,"unknown","no","1"
45,"technician","divorced","secondary","no",49,"no","no","cellular",5,"aug",164,3,-1,0,"unknown","no","1"
37,"unemployed","single","secondary","no",756,"yes","no","unknown",2,"jun",74,1,-1,0,"unknown","no","1"
51,"entrepreneur","married","secondary","no",0,"yes","yes","unknown",2,"jun",184,5,-1,0,"unknown","no","1"
31,"management","single","secondary","no",783,"yes","no","unknown",6,"may",320,1,-1,0,"unknown","no","1"
37,"admin.","married","tertiary","no",1995,"yes","no","cellular",11,"aug",48,2,-1,0,"unknown","no","1"
48,"retired","married","secondary","no",74,"no","yes","unknown",6,"may",315,1,-1,0,"unknown","no","1"
39,"management","married","tertiary","no",184,"no","no","cellular",15,"oct",206,1,168,5,"unknown","no","1"
60,"blue-collar","married","secondary","no",576,"no","no","cellular",22,"may",190,1,-1,0,"unknown","no","1"
28,"management","single","secondary","no",471,"yes","yes","unknown",19,"may",123,2,-1,0,"unknown","no","1"
34,"management","single","tertiary","no",2093,"no","no","cellular",8,"aug",371,6,-1,0,"unknown","no","4"
34,"self-employed","divorced","secondary","no",172,"yes","no","cellular",18,"nov",65,1,-1,0,"unknown","no","1"
54,"blue-collar","married","unknown","no",363,"yes","no","unknown",13,"may",202,1,-1,0,"unknown","no","1"
28,"blue-collar","married","secondary","no",64,"yes","no","unknown",13,"may",160,3,-1,0,"unknown","no","1"
52,"technician","married","unknown","no",0,"yes","no","cellular",17,"nov",136,1,-1,0,"unknown","no","1"
31,"admin.","single","secondary","no",523,"no","yes","cellular",16,"oct",141,1,126,4,"failure","no","1"
39,"management","married","tertiary","no",575,"no","no","unknown",6,"jun",109,1,-1,0,"unknown","no","1"
58,"admin.","married","secondary","no",1686,"no","no","cellular",4,"aug",110,2,-1,0,"unknown","no","2"
60,"unemployed","married","secondary","no",2000,"no","no","cellular",8,"apr",58,1,-1,0,"unknown","no","2"
34,"technician","single","secondary","no",1161,"yes","no","cellular",20,"apr",17,5,334,1,"failure","no","1"
53,"technician","divorced","secondary","no",320,"no","no","cellular",9,"jul",175,1,-1,0,"unknown","no","1"
31,"management","single","secondary","no",1090,"yes","no","cellular",8,"may",50,1,303,1,"failure","no","1"
30,"admin.","married","secondary","no",32,"yes","yes","cellular",22,"jul",163,1,-1,0,"unknown","no","1"
33,"self-employed","single","tertiary","no",1354,"yes","no","cellular",20,"nov",130,2,-1,0,"unknown","no","1"
46,"blue-collar","single","secondary","no",152,"yes","no","unknown",8,"may",33,4,-1,0,"unknown","no","1"
33,"management","single","secondary","no",2859,"yes","no","cellular",13,"aug",105,1,-1,0,"unknown","no","1"
32,"unemployed","single","tertiary","no",507,"no","no","cellular",3,"feb",362,1,-1,0,"unknown","no","1"
28,"blue-collar","single","secondary","no",-208,"yes","no","cellular",15,"may",136,3,359,2,"failure","no","1"
53,"services","divorced","unknown","no",1012,"yes","no","cellular",28,"jul",332,2,-1,0,"unknown","no","2"
39,"blue-collar","married","primary","no",3324,"no","no","cellular",17,"nov",96,1,131,1,"failure","no","1"
55,"management","married","tertiary","no",655,"no","no","cellular",28,"jul",167,6,-1,0,"unknown","no","1"
31,"management","married","tertiary","no",1164,"yes","yes","cellular",18,"nov",141,2,123,3,"failure","no","1"
31,"technician","single","tertiary","no",1463,"no","no","cellular",11,"aug",97,2,-1,0,"unknown","no","1"
38,"blue-collar","married","secondary","no",502,"yes","no","unknown",2,"jun",209,2,-1,0,"unknown","no","1"
38,"services","married","secondary","no",611,"yes","yes","unknown",18,"jun",61,3,-1,0,"unknown","no","1"
38,"services","married","secondary","no",773,"yes","no","cellular",15,"may",198,1,359,1,"other","no","1"
38,"blue-collar","single","primary","no",199,"yes","no","unknown",27,"may",268,4,-1,0,"unknown","no","1"
57,"blue-collar","divorced","primary","no",1299,"no","no","cellular",27,"nov",142,2,-1,0,"unknown","no","2"
54,"services","married","secondary","no",472,"no","yes","cellular",21,"jul",86,4,-1,0,"unknown","no","1"
27,"student","single","secondary","no",3,"no","no","cellular",28,"jan",131,1,-1,0,"unknown","no","1"
27,"blue-collar","married","secondary","no",564,"yes","no","unknown",9,"may",257,3,-1,0,"unknown","no","1"
27,"technician","single","secondary","no",1187,"no","no","cellular",28,"jan",120,2,-1,0,"unknown","no","1"
28,"services","married","secondary","no",1394,"yes","no","cellular",20,"apr",293,2,-1,0,"unknown","no","1"
42,"admin.","married","secondary","no",1535,"yes","no","cellular",28,"aug",121,1,108,2,"failure","no","1"
47,"blue-collar","married","secondary","no",125,"no","no","cellular",8,"jul",210,2,-1,0,"unknown","no","1"
36,"admin.","divorced","primary","no",227,"no","no","cellular",9,"jul",185,1,-1,0,"unknown","no","1"
30,"technician","single","tertiary","no",2325,"no","no","cellular",10,"nov",134,1,92,8,"success","no","1"
59,"retired","divorced","secondary","no",479,"no","no","cellular",4,"feb",37,5,-1,0,"unknown","no","1"
60,"management","married","tertiary","no",328,"yes","no","unknown",20,"may",72,5,-1,0,"unknown","no","1"
54,"admin.","married","secondary","no",1326,"yes","no","unknown",11,"jun",105,2,-1,0,"unknown","no","2"
29,"self-employed","single","secondary","no",970,"yes","no","cellular",13,"may",240,1,-1,0,"unknown","no","1"
41,"blue-collar","married","unknown","no",2113,"yes","no","telephone",9,"jul",20,5,-1,0,"unknown","no","4"
45,"technician","divorced","secondary","no",0,"no","no","cellular",26,"aug",64,2,-1,0,"unknown","no","1"
26,"technician","single","tertiary","no",468,"yes","no","cellular",14,"may",221,2,364,1,"failure","no","1"
57,"technician","married","secondary","no",839,"no","yes","unknown",5,"may",225,1,-1,0,"unknown","no","2"
56,"unknown","divorced","unknown","no",2152,"no","no","unknown",6,"jun",67,1,-1,0,"unknown","no","2"
44,"blue-collar","married","primary","no",-315,"yes","no","unknown",23,"may",90,3,-1,0,"unknown","no","1"
40,"self-employed","married","tertiary","no",1126,"yes","no","unknown",16,"may",22,4,-1,0,"unknown","no","1"
63,"self-employed","married","tertiary","no",-39,"no","no","cellular",1,"apr",387,2,-1,0,"unknown","yes","1"
34,"blue-collar","married","secondary","no",763,"yes","no","unknown",27,"may",99,1,-1,0,"unknown","no","1"
31,"unemployed","married","secondary","no",31,"yes","no","cellular",15,"jul",211,6,-1,0,"unknown","no","1"
65,"retired","married","primary","no",343,"no","no","telephone",5,"feb",159,2,-1,0,"unknown","no","1"
59,"entrepreneur","divorced","secondary","no",0,"no","yes","cellular",2,"feb",69,2,-1,0,"unknown","no","1"
38,"admin.","married","secondary","no",-247,"yes","no","unknown",27,"may",265,4,-1,0,"unknown","no","1"
23,"student","single","secondary","no",0,"no","no","cellular",30,"apr",297,1,83,6,"success","yes","1"
55,"blue-collar","divorced","primary","no",410,"no","yes","cellular",11,"jul",221,2,-1,0,"unknown","no","1"
52,"services","married","secondary","no",2993,"no","no","cellular",11,"mar",96,6,-1,0,"unknown","no","4"
44,"entrepreneur","married","secondary","no",0,"no","no","unknown",14,"may",211,2,-1,0,"unknown","no","1"
51,"blue-collar","married","secondary","no",22,"yes","yes","unknown",9,"may",178,1,-1,0,"unknown","no","1"
59,"retired","divorced","secondary","no",21,"yes","no","telephone",19,"nov",121,2,-1,0,"unknown","no","1"
40,"technician","married","secondary","yes",4,"no","no","cellular",27,"aug",145,3,-1,0,"unknown","no","1"
37,"admin.","single","secondary","no",3049,"yes","yes","unknown",29,"may",153,1,-1,0,"unknown","no","1"
59,"technician","divorced","secondary","no",0,"no","no","cellular",29,"aug",126,2,-1,0,"unknown","no","1"
30,"admin.","single","secondary","no",613,"yes","no","cellular",17,"apr",180,2,302,1,"failure","no","1"
45,"management","married","tertiary","no",634,"yes","no","cellular",25,"jul",227,1,-1,0,"unknown","no","1"
50,"blue-collar","married","primary","no",362,"yes","no","unknown",8,"may",201,2,-1,0,"unknown","no","1"
53,"services","married","secondary","no",24,"yes","no","cellular",24,"jul",209,1,-1,0,"unknown","no","1"
34,"technician","married","secondary","no",1075,"yes","no","cellular",11,"may",460,1,-1,0,"unknown","no","1"
33,"services","married","secondary","no",804,"yes","yes","unknown",8,"may",266,1,-1,0,"unknown","no","1"
46,"management","married","tertiary","no",2817,"no","no","cellular",17,"sep",543,1,-1,0,"unknown","yes","2"
29,"technician","single","unknown","no",1729,"yes","no","cellular",6,"apr",479,1,-1,0,"unknown","no","1"
42,"management","single","tertiary","no",1156,"yes","no","unknown",4,"jul",62,1,-1,0,"unknown","no","1"
38,"technician","married","secondary","no",821,"yes","yes","unknown",21,"may",78,1,-1,0,"unknown","no","1"
56,"admin.","married","secondary","no",2146,"no","yes","unknown",9,"jun",594,1,-1,0,"unknown","no","2"
53,"management","married","secondary","no",478,"yes","no","cellular",2,"feb",66,1,264,2,"failure","no","1"
28,"blue-collar","married","secondary","no",-95,"yes","no","unknown",13,"may",200,1,-1,0,"unknown","no","1"
36,"unemployed","married","primary","no",2347,"yes","no","cellular",21,"nov",5,3,-1,0,"unknown","no","2"
31,"services","single","secondary","no",205,"yes","no","cellular",15,"apr",465,1,-1,0,"unknown","no","1"
45,"services","married","secondary","no",475,"yes","no","unknown",30,"may",230,2,-1,0,"unknown","no","1"
60,"retired","married","secondary","no",0,"yes","no","unknown",15,"may",229,1,-1,0,"unknown","no","1"
37,"blue-collar","married","secondary","no",2848,"yes","no","cellular",16,"apr",280,2,147,3,"failure","no","1"
52,"technician","married","secondary","no",0,"yes","no","cellular",10,"mar",164,1,-1,0,"unknown","no","1"
30,"management","married","tertiary","no",196,"no","no","cellular",20,"nov",68,1,101,4,"other","no","1"
43,"services","divorced","secondary","no",0,"no","no","cellular",31,"jul",106,4,-1,0,"unknown","no","1"
33,"blue-collar","married","primary","no",0,"no","no","cellular",8,"may",174,1,-1,0,"unknown","no","1"
59,"management","married","tertiary","no",82,"yes","no","cellular",17,"apr",324,4,-1,0,"unknown","no","3"
29,"management","single","tertiary","no",112,"yes","yes","unknown",28,"may",117,2,-1,0,"unknown","no","1"
38,"blue-collar","married","secondary","no",171,"yes","yes","unknown",20,"may",172,1,-1,0,"unknown","no","1"
58,"entrepreneur","married","tertiary","no",0,"yes","yes","cellular",4,"feb",304,2,229,2,"failure","no","1"
28,"blue-collar","married","secondary","no",339,"yes","no","unknown",26,"may",100,2,-1,0,"unknown","no","1"
26,"management","single","tertiary","no",122,"no","yes","cellular",8,"jul",160,1,-1,0,"unknown","no","1"
60,"retired","married","tertiary","no",0,"no","no","telephone",14,"jul",363,3,-1,0,"unknown","no","1"
57,"admin.","married","unknown","no",2038,"no","no","cellular",9,"aug",628,1,182,2,"failure","yes","2"
40,"services","single","secondary","no",856,"yes","no","telephone",17,"nov",70,1,-1,0,"unknown","no","1"
49,"blue-collar","married","secondary","no",93,"no","no","telephone",24,"jul",212,4,-1,0,"unknown","no","1"
38,"technician","divorced","tertiary","no",1307,"no","no","cellular",14,"may",294,2,-1,0,"unknown","no","1"
47,"entrepreneur","married","tertiary","no",416,"yes","yes","telephone",11,"jul",87,2,-1,0,"unknown","no","1"
41,"self-employed","married","secondary","no",1,"no","no","cellular",19,"aug",55,4,-1,0,"unknown","no","1"
59,"housemaid","married","primary","no",1071,"no","no","unknown",19,"jun",140,1,-1,0,"unknown","no","2"
39,"technician","married","tertiary","no",123,"yes","no","unknown",30,"may",127,1,-1,0,"unknown","no","1"
43,"blue-collar","married","secondary","no",-19,"yes","no","cellular",5,"feb",124,3,-1,0,"unknown","no","1"
37,"technician","married","tertiary","no",247,"no","no","cellular",20,"aug",625,6,-1,0,"unknown","yes","3"
42,"technician","divorced","secondary","no",214,"no","no","cellular",16,"apr",127,1,-1,0,"unknown","yes","1"
45,"services","married","primary","no",627,"yes","no","cellular",12,"may",271,1,-1,0,"unknown","no","1"
33,"technician","single","secondary","no",2979,"no","no","cellular",5,"aug",326,2,437,1,"failure","yes","1"
29,"blue-collar","married","secondary","no",577,"yes","no","telephone",17,"apr",501,3,331,10,"other","no","1"
40,"blue-collar","married","primary","no",0,"yes","no","unknown",5,"may",463,1,-1,0,"unknown","no","1"
49,"services","single","secondary","no",308,"yes","no","unknown",4,"jun",96,3,-1,0,"unknown","no","1"
31,"technician","single","tertiary","no",22,"yes","no","unknown",9,"may",483,3,-1,0,"unknown","yes","1"
33,"management","married","tertiary","no",418,"yes","no","cellular",21,"nov",159,1,-1,0,"unknown","no","1"
42,"management","single","secondary","no",50,"no","no","unknown",5,"may",48,1,-1,0,"unknown","no","1"
60,"retired","divorced","primary","no",95,"no","yes","unknown",27,"jun",244,1,-1,0,"unknown","no","1"
33,"blue-collar","married","secondary","no",1541,"yes","no","unknown",23,"may",423,2,-1,0,"unknown","no","1"
31,"technician","married","secondary","no",3322,"yes","no","cellular",14,"aug",421,2,-1,0,"unknown","no","1"
46,"technician","married","primary","no",-171,"yes","no","unknown",26,"may",135,1,-1,0,"unknown","no","1"
32,"technician","single","tertiary","no",1855,"no","no","cellular",15,"sep",126,2,134,1,"other","yes","1"
41,"services","divorced","secondary","no",1838,"yes","yes","telephone",24,"jul",242,4,-1,0,"unknown","no","4"
35,"management","married","tertiary","no",3161,"no","no","cellular",8,"aug",433,2,-1,0,"unknown","no","1"
23,"technician","single","tertiary","no",1502,"no","no","cellular",12,"aug",96,1,-1,0,"unknown","no","1"
51,"technician","married","primary","no",1550,"no","no","unknown",20,"jun",12,5,-1,0,"unknown","no","1"
35,"blue-collar","single","secondary","yes",-177,"yes","yes","cellular",7,"may",193,1,-1,0,"unknown","no","1"
36,"technician","married","secondary","no",465,"no","no","cellular",14,"aug",85,1,-1,0,"unknown","no","1"
28,"blue-collar","married","primary","no",60,"yes","no","cellular",6,"may",161,1,337,1,"failure","no","1"
29,"technician","single","secondary","no",577,"yes","no","cellular",18,"may",18,4,-1,0,"unknown","no","1"
46,"blue-collar","married","primary","no",-768,"yes","no","unknown",8,"may",194,3,-1,0,"unknown","no","1"
67,"retired","married","primary","no",708,"no","no","cellular",11,"sep",96,2,-1,0,"unknown","no","1"
42,"admin.","divorced","secondary","no",24,"yes","no","cellular",6,"may",219,2,-1,0,"unknown","no","1"
41,"services","married","secondary","no",523,"yes","yes","telephone",4,"nov",5,1,-1,0,"unknown","no","1"
50,"blue-collar","married","primary","no",-219,"no","yes","cellular",20,"aug",177,2,-1,0,"unknown","no","1"
35,"technician","married","tertiary","no",122,"no","no","cellular",27,"mar",277,1,-1,0,"unknown","no","1"
45,"blue-collar","married","secondary","no",120,"yes","yes","unknown",15,"may",53,3,-1,0,"unknown","no","1"
69,"retired","married","tertiary","no",473,"no","no","cellular",7,"jul",112,1,78,1,"failure","no","1"
49,"blue-collar","married","primary","no",98,"no","yes","unknown",19,"jun",534,1,-1,0,"unknown","no","1"
54,"management","married","tertiary","no",292,"no","no","unknown",12,"jun",120,1,-1,0,"unknown","no","1"
42,"self-employed","married","secondary","no",2812,"yes","no","cellular",21,"nov",46,4,171,1,"failure","no","2"
31,"unemployed","single","secondary","no",-186,"yes","no","unknown",26,"may",172,3,-1,0,"unknown","no","1"
60,"admin.","married","unknown","no",738,"no","no","unknown",19,"may",529,3,-1,0,"unknown","no","3"
29,"blue-collar","married","primary","no",200,"yes","no","unknown",30,"may",322,2,-1,0,"unknown","no","1"
46,"housemaid","married","primary","no",39,"no","no","unknown",9,"jun",74,2,-1,0,"unknown","no","1"
34,"management","single","tertiary","no",0,"no","no","cellular",21,"aug",129,4,-1,0,"unknown","no","1"
32,"admin.","married","tertiary","no",281,"yes","no","unknown",6,"may",226,1,-1,0,"unknown","no","1"
52,"blue-collar","married","secondary","no",167,"no","no","unknown",16,"jun",163,1,-1,0,"unknown","no","1"
33,"blue-collar","married","secondary","no",1905,"yes","no","cellular",13,"may",39,1,301,2,"success","no","1"
39,"management","married","primary","no",1873,"no","no","unknown",9,"jun",161,2,-1,0,"unknown","no","1"
42,"management","married","primary","no",860,"yes","no","unknown",15,"may",90,3,-1,0,"unknown","no","1"
32,"self-employed","single","tertiary","no",312,"yes","no","cellular",27,"may",99,2,-1,0,"unknown","no","1"
45,"management","married","tertiary","yes",-190,"no","yes","cellular",26,"aug",92,4,-1,0,"unknown","no","1"
55,"management","married","unknown","no",0,"no","no","unknown",5,"jun",353,2,-1,0,"unknown","no","1"
32,"management","married","tertiary","no",1196,"yes","no","cellular",11,"jul",508,1,-1,0,"unknown","no","1"
37,"management","married","tertiary","no",597,"no","yes","unknown",30,"jun",96,3,-1,0,"unknown","no","1"
30,"admin.","single","secondary","no",382,"yes","no","cellular",19,"nov",369,1,191,1,"failure","no","1"
54,"management","married","tertiary","no",1197,"yes","yes","cellular",31,"jul",11,5,-1,0,"unknown","no","1"
34,"services","married","secondary","no",2021,"yes","yes","cellular",17,"apr",51,6,148,8,"other","no","4"
37,"management","married","secondary","no",565,"no","no","cellular",5,"may",329,1,6,2,"success","no","1"
37,"services","married","primary","no",0,"yes","no","unknown",26,"may",581,1,-1,0,"unknown","no","1"
25,"management","single","tertiary","no",99,"yes","yes","unknown",16,"may",102,4,-1,0,"unknown","no","1"
38,"blue-collar","single","primary","no",127,"yes","no","cellular",28,"jan",70,1,-1,0,"unknown","no","1"
47,"technician","married","secondary","no",351,"yes","no","unknown",14,"may",367,3,-1,0,"unknown","no","1"
46,"self-employed","married","secondary","no",0,"no","yes","telephone",25,"jul",150,2,-1,0,"unknown","no","1"
50,"technician","married","primary","no",-315,"no","yes","cellular",8,"jul",173,1,-1,0,"unknown","no","1"
33,"blue-collar","married","primary","no",329,"yes","no","unknown",9,"may",44,1,-1,0,"unknown","no","1"
44,"management","married","tertiary","no",1036,"no","no","cellular",25,"sep",491,1,-1,0,"unknown","no","1"
48,"management","single","tertiary","no",0,"yes","yes","cellular",8,"may",76,1,-1,0,"unknown","no","1"
46,"entrepreneur","married","secondary","no",118,"yes","no","cellular",9,"jul",296,1,-1,0,"unknown","no","1"
60,"retired","married","secondary","no",0,"no","no","cellular",3,"feb",149,1,-1,0,"unknown","no","1"
35,"management","married","primary","no",-326,"yes","yes","cellular",20,"nov",518,2,-1,0,"unknown","no","1"
44,"admin.","divorced","tertiary","no",0,"yes","no","cellular",7,"jul",96,3,-1,0,"unknown","no","1"
53,"admin.","single","secondary","no",1178,"yes","no","unknown",15,"may",295,2,-1,0,"unknown","no","2"
39,"blue-collar","married","secondary","no",804,"yes","no","unknown",21,"may",166,1,-1,0,"unknown","no","1"
38,"management","married","tertiary","no",-120,"yes","no","cellular",11,"may",148,1,367,2,"failure","no","1"
47,"blue-collar","divorced","secondary","no",1480,"yes","no","cellular",15,"may",144,1,365,1,"failure","no","2"
41,"housemaid","married","secondary","no",876,"no","no","unknown",19,"jun",78,1,-1,0,"unknown","no","1"
43,"self-employed","married","tertiary","no",64,"no","no","unknown",6,"jun",230,2,-1,0,"unknown","no","1"
48,"services","married","secondary","no",127,"no","no","cellular",8,"jul",117,1,-1,0,"unknown","no","1"
30,"admin.","divorced","secondary","no",370,"yes","no","unknown",15,"may",160,1,-1,0,"unknown","no","1"
51,"unemployed","married","secondary","no",1052,"no","no","cellular",25,"aug",280,4,-1,0,"unknown","no","2"
48,"blue-collar","single","secondary","no",44,"yes","no","unknown",6,"may",153,1,-1,0,"unknown","no","1"
50,"technician","married","unknown","no",-287,"yes","no","cellular",8,"may",92,1,347,1,"failure","no","1"
25,"blue-collar","married","primary","no",0,"no","no","cellular",7,"jul",64,1,-1,0,"unknown","no","1"
50,"blue-collar","divorced","primary","no",15,"yes","no","cellular",12,"may",173,2,350,7,"failure","no","1"
52,"blue-collar","married","secondary","no",-397,"no","yes","cellular",4,"aug",151,1,-1,0,"unknown","no","1"
35,"services","married","secondary","no",17,"yes","no","cellular",4,"may",110,4,-1,0,"unknown","no","1"
28,"technician","married","tertiary","no",161,"yes","no","cellular",20,"apr",268,2,-1,0,"unknown","no","1"
28,"services","single","secondary","no",2385,"yes","no","unknown",4,"jun",119,2,-1,0,"unknown","no","1"
